domain,tos_url,tos_scraping,tos_condition_type,tos_excerpt,robots_scraping,final_verdict,website_category
clinicalresearch.io,https://clinicalresearch.io/privacy-policy/,permissible,,No scraping-related provisions found.,permissible,permissible,Education & Knowledge
bringmethenews.com,https://mn.bringmethenews.com/tos,permissible,,No scraping-related provisions found.,permissible,permissible,News & Media
citiretailservices.citibankonline.com,https://citiretailservices.citibankonline.com/RSnextgen/svc/registration/index.action?siteId=PLCN_BESTBUY&pagename=quitVerify,permissible,,No scraping-related provisions found.,permissible,permissible,Finance & Business
ekyros.com,https://pluslink.ekyros.com/Home/Terms,permissible,,No scraping-related provisions found.,permissible,permissible,Tools & Tech
magazineluiza.com.br,https://ri.magazineluiza.com.br/show.aspx?idCanal=urUqu4hANldyCLgMRgOsTw%3D%3D&linguagem=en,permissible,,No scraping-related provisions found.,permissible,permissible,E-commerce & Retail
consolegameswiki.com,https://ffxiv.consolegameswiki.com/wiki/FFXIV_Wiki:Privacy_policy,permissible,,No scraping-related provisions found.,permissible,permissible,Entertainment
torn.com,,permissible,,No ToS content available,permissible,permissible,Entertainment
umich.edu,https://umich.edu/about/privacy/,permissible,,No scraping-related provisions found.,permissible,permissible,Education & Knowledge
aliefisd.net,,permissible,,No ToS content available,permissible,permissible,Education & Knowledge
chesskid.com,https://www.chesskid.com/legal,permissible,,No scraping-related provisions found.,permissible,permissible,Entertainment
cigarpage.com,,permissible,,No ToS content available,permissible,permissible,E-commerce & Retail
ct.gov,https://portal.ct.gov/Policies/State-Privacy-Policy,permissible,,No scraping-related provisions found.,permissible,permissible,Government & Nonprofit
freerepublic.com,https://freerepublic.com/focus/f-chat/4309552/replies?c=2,permissible,,No ToS content available,permissible,permissible,Social & Forums
baiyastores.com,,permissible,,No ToS content available,permissible,permissible,E-commerce & Retail
easemytrip.com,https://www.EASEMYTRIP.CO.UK,permissible,,No scraping-related provisions found.,permissible,permissible,Health & Lifestyle
knoxschools.org,,permissible,,No ToS content available,permissible,permissible,Education & Knowledge
msu.edu,https://msu.edu/privacy,permissible,,No scraping-related provisions found.,permissible,permissible,Education & Knowledge
typing.com,https://typing.com/termsofservice,permissible,,No scraping-related provisions found.,permissible,permissible,Education & Knowledge
advancedmd.com,https://www.advancedmd.com/privacy-notice/,permissible,,No scraping-related provisions found.,permissible,permissible,Tools & Tech
myfinanceservice.com,,permissible,,No ToS content available,permissible,permissible,Finance & Business
medline.com,https://www.medline.com/legal/,permissible,,No ToS content available,permissible,permissible,Health & Lifestyle
nsw.gov.au,https://www.service.nsw.gov.au/terms-of-use,permissible,,No scraping-related provisions found.,permissible,permissible,Government & Nonprofit
osu.edu,https://go.osu.edu/app/terms,permissible,,No scraping-related provisions found.,permissible,permissible,Education & Knowledge
tools.usps.com,https://about.usps.com/who/legal/privacy-policy/,permissible,,No scraping-related provisions found.,permissible,permissible,Government & Nonprofit
3dtuning.com,https://www.3dtuning.com/terms_conditions,permissible,,No scraping-related provisions found.,permissible,permissible,Entertainment
state.gov,https://www.state.gov/privacy-policy,permissible,,No scraping-related provisions found.,permissible,permissible,Government & Nonprofit
dentalxchange.com,https://www.dentalxchange.com/privacy,permissible,,No scraping-related provisions found.,permissible,permissible,Tools & Tech
freeshipping.com,https://freeshipping.com/terms-of-service,permissible,,No scraping-related provisions found.,permissible,permissible,Entertainment
cronista.com,,permissible,,No ToS content available,permissible,permissible,News & Media
govdeals.com,,permissible,,No ToS content available,permissible,permissible,Government & Nonprofit
missyusa.com,http://web3.missyusa.com/company/content/privacypolicy.html,permissible,,No scraping-related provisions found.,permissible,permissible,Social & Forums
